superficie_afectada_por_incendios_anio;superficie_afectada_por_incendios_provincia;superficie_afectada_por_incendios_total_hectareas;superficie_afectada_por_incendios_bosque_nativo_hectareas;superficie_afectada_por_incendios_bosque_cultivado_hectareas;superficie_afectada_por_incendios_arbustal_hectareas;superficie_afectada_por_incendios_pastizal_hectareas;superficie_afectada_por_incendios_sin_determinar_hectareas
2017;Neuquén;6787;228;89;1611;4859;0
2017;Río Negro;61076;6;3;11971;49097;0
2017;Salta;4477;102;9;1961;2405;0
2017;San Juan;12022;0;0;115;11907;0
2017;San Luis;39;0;0;0;39;0
2017;Santa Cruz;303;0;0;5;298;0
2017;Santa Fe;1303;75;123;101;1004;0
2017;Santiago del Estero;1784;10;31;752;991;0
2017;Tierra del Fuego;5;2;2;1;1;0
2017;Tucumán;178;21;0;92;65;0
2018;Buenos Aires;86852;2419;508;40953;42971;0
2018;Catamarca;6993;71;94;1706;5122;0
2018;Chaco;3067;79;1047;230;1712;0
2018;Chubut;100;2;12;12;74;0
2018;Ciudad Autónoma de Buenos Aires;0;0;0;0;0;0
2018;Córdoba;20826;2549;300;3935;14043;0
2018;Corrientes;434;49;75;5;306;0
2018;Entre Ríos;4899;3369;1245;0;285;0
2018;Formosa;551;0;0;168;383;0
2018;Jujuy;842;134;41;102;564;0
2018;La Pampa;723262;228360;21487;313726;159689;0
2018;La Rioja;303;0;0;1;302;0
2018;Mendoza;126316;8672;71;34988;82584;0
2018;Misiones;766;0;8;22;736;0
2018;Neuquén;2826;1046;14;565;1201;0
2018;Parques Nacionales;33281;72;30;15095;18085;0
2018;Río Negro;4688;69;16;2267;2336;0
2018;Salta;1306;0;0;223;1083;0
2018;San Juan;566;11;5;0;551;0
2018;San Luis;39;0;0;0;39;0
2018;Santa Fe;1686;116;55;64;1451;0
2018;Tierra del Fuego;3;0;0;0;2;0
2018;Tucumán;1802;0;0;60;1742;0
2019;Catamarca;399;50;2;102;246;0
2019;Chubut;4254;10;4073;163;7;0
2019;Ciudad Autónoma de Buenos Aires;0;0;0;0;0;0
2019;Córdoba;4298;671;0;4;3623;0
2019;Corrientes;14;0;2;0;11;0
2019;Entre Ríos;246;0;42;1;203;0
2019;Formosa;1577;0;0;247;1330;0
2019;Jujuy;190;31;0;2;157;0
2019;La Pampa;115692;48998;0;53220;13474;0
2019;La Rioja;34;0;0;0;34;0
2019;Mendoza;33296;2057;0;10037;21202;0
2019;Misiones;53;0;3;0;50;0
2019;Parques Nacionales;2378;65;0;22;2292;0
2019;Río Negro;278;66;7;64;141;0
2019;Santa Fe;540;23;8;32;477;0
2019;Tierra del Fuego;2;0;0;0;2;0
